qemu-system-riscv64 -machine virt -bios none -kernel kernel/kernel -m 128M -smp 1 -nographic -global virtio-mmio.force-legacy=false -drive file=fs.img,if=none,format=raw,id=x0 -device virtio-blk-device,drive=x0,bus=virtio-mmio-bus.0

xv6 kernel is booting

init: starting sh
$ wrunner io_heavy.txt hints.txt
TRACE tick=67 pid=6 pri=0 slice=0
TRACE tick=67 pid=4 pri=0 slice=0
TRACE tick=67 pid=4 pri=0 slice=0
TRACE tick=67 pid=4 pri=0 slice=0
TRACE tick=67 pid=7 pri=0 slice=0
TRACE tick=68 pid=4 pri=0 slice=0
TRACE tick=68 pid=5 pri=0 slice=0
TRACE tick=68 pid=4 pri=0 slice=0
TRACE tick=68 pid=6 pri=0 slice=0
TRACE tick=68 pid=4 pri=0 slice=0
TRACE tick=68 pid=4 pri=0 slice=0
TRACE tick=69 pid=4 pri=0 slice=0
TRACE tick=69 pid=4 pri=0 slice=0
TRACE tick=69 pid=4 pri=0 slice=0
TRACE tick=69 pid=4 pri=0 slice=0
TRACE tick=70 pid=4 pri=0 slice=0
TRACE tick=70 pid=4 pri=0 slice=0
TRACE tick=70 pid=4 pri=0 slice=0
TRACE tick=70 pid=4 pri=0 slice=0
TRACE tick=71 pid=5 pri=0 slice=0
TRACE tick=71 pid=4 pri=0 slice=0
TRACE tick=71 pid=6 pri=0 slice=0
TRACE tick=71 pid=4 pri=0 slice=0
TRACE tick=71 pid=4 pri=0 slice=0
TRACE tick=72 pid=7 pri=0 slice=0
TRACE tick=72 pid=4 pri=0 slice=0
TRACE tick=72 pid=4 pri=0 slice=0
TRACE tick=72 pid=4 pri=0 slice=0
TRACE tick=73 pid=4 pri=0 slice=0
TRACE tick=73 pid=5 pri=0 slice=0
TRACE tick=74 pid=4 pri=0 slice=0
TRACE tick=74 pid=5 pri=0 slice=1
TRACE tick=74 pid=4 pri=0 slice=0
TRACE tick=75 pid=4 pri=0 slice=1
TRACE tick=75 pid=5 pri=0 slice=0
TRACE tick=76 pid=4 pri=0 slice=0
TRACE tick=76 pid=4 pri=0 slice=0
TRACE tick=76 pid=4 pri=0 slice=0
TRACE tick=76 pid=4 pri=0 slice=0
TRACE tick=77 pid=6 pri=0 slice=0
TRACE tick=77 pid=4 pri=0 slice=0
TRACE tick=77 pid=7 pri=0 slice=0
