qemu-system-riscv64 -machine virt -bios none -kernel kernel/kernel -m 128M -smp 1 -nographic -global virtio-mmio.force-legacy=false -drive file=fs.img,if=none,format=raw,id=x0 -device virtio-blk-device,drive=x0,bus=virtio-mmio-bus.0

xv6 kernel is booting

init: starting sh
$ wrunner mixed.txt hints.txt
TRACE tick=82 pid=7 pri=0 slice=0
TRACE tick=82 pid=9 pri=1 slice=0
TRACE tick=82 pid=7 pri=0 slice=0
TRACE tick=83 pid=6 pri=1 slice=0
TRACE tick=83 pid=7 pri=0 slice=0
TRACE tick=83 pid=9 pri=1 slice=0
TRACE tick=83 pid=7 pri=0 slice=0
TRACE tick=83 pid=10 pri=1 slice=0
TRACE tick=83 pid=7 pri=0 slice=0
TRACE tick=83 pid=7 pri=0 slice=0
TRACE tick=83 pid=7 pri=0 slice=0
TRACE tick=84 pid=7 pri=0 slice=0
TRACE tick=84 pid=6 pri=1 slice=0
TRACE tick=84 pid=8 pri=1 slice=0
TRACE tick=84 pid=9 pri=1 slice=0
TRACE tick=84 pid=8 pri=1 slice=0
TRACE tick=84 pid=10 pri=1 slice=0
TRACE tick=85 pid=7 pri=0 slice=0
TRACE tick=85 pid=6 pri=1 slice=0
TRACE tick=85 pid=8 pri=1 slice=0
TRACE tick=85 pid=8 pri=1 slice=0
TRACE tick=85 pid=9 pri=1 slice=0
TRACE tick=85 pid=8 pri=1 slice=0
TRACE tick=86 pid=7 pri=0 slice=0
TRACE tick=86 pid=6 pri=1 slice=0
cpu_burTRACE tick=86 pid=8 pri=1 slice=1
TRACE tick=87 pid=6 pri=1 slice=0
ner pid=8 done acc=1205313985
TRACE tick=87 pid=8 pri=1 slice=2
TRACE tick=87 pid=9 pri=1 slice=0
TRACE tick=87 pid=10 pri=1 slice=1
TRACE tick=88 pid=7 pri=0 slice=0
TRACE tick=88 pid=6 pri=1 slice=0
TRACE tick=88 pid=8 pri=1 slice=0
TRACE tick=88 pid=9 pri=1 slice=0
TRACE tick=89 pid=6 pri=1 slice=0
TRACE tick=89 pid=9 pri=1 slice=0
TRACE tick=89 pid=10 pri=1 slice=2
TRACE tick=89 pid=7 pri=0 slice=0
mixed_burner pid=6 done iters=25 acc=1603187657
TRACE tick=90 pid=6 pri=1 slice=0
TRACE tick=90 pid=7 pri=0 slice=0
TRACE tick=91 pid=8 pri=1 slice=0
TRACE tick=91 pid=7 pri=0 slice=0
TRACE tick=91 pid=9 pri=1 slice=0
TRACE tick=91 pid=7 pri=0 slice=0
TRACE tick=91 pid=10 pri=1 slice=0
TRACE tick=91 pid=7 pri=0 slice=0
TRACE tick=91 pid=4 pri=2 slice=0
TRACE tick=92 pid=7 pri=0 slice=0
TRACE tick=92 pid=7 pri=0 slice=0
TRACE tick=92 pid=9 pri=1 slice=0
TRACE tick=92 pid=7 pri=0 slice=0
TRACE tick=92 pid=7 pri=0 slice=0
TRACE tick=92 pid=5 pri=2 slice=0
TRACE tick=92 pid=7 pri=0 slice=0
TRACE tick=93 pid=7 pri=0 slice=0
TRACE tick=93 pid=9 pri=1 slice=0
TRACE tick=93 pid=7 pri=0 slice=0
TRACE tick=93 pid=7 pri=0 slice=0
TRACE tick=93 pid=6 pri=1 slice=0
TRACE tick=93 pid=7 pri=0 slice=0
TRACE tick=93 pid=7 pri=0 slice=0
TRACE tick=93 pid=8 pri=1 slice=0
TRACE tick=94 pid=7 pri=0 slice=0
