make: Warning: File 'fs.img' has modification time 0.23 s in the future
qemu-system-riscv64 -machine virt -bios none -kernel kernel/kernel -m 128M -smp 1 -nographic -global virtio-mmio.force-legacy=false -drive file=fs.img,if=none,format=raw,id=x0 -device virtio-blk-device,drive=x0,bus=virtio-mmio-bus.0

xv6 kernel is booting

init: starting sh
$ wrunner realprog.txt hints.txt
nTRACE tick=58 pid=4 pri=0 slice=0
sTRACE tick=58 pid=4 pri=0 slice=0
pTRACE tick=59 pid=4 pri=0 slice=0
iTRACE tick=59 pid=4 pri=0 slice=0
rTRACE tick=59 pid=4 pri=0 slice=0
eTRACE tick=59 pid=4 pri=0 slice=0
dTRACE tick=59 pid=4 pri=0 slice=0
 TRACE tick=59 pid=4 pri=0 slice=0
bTRACE tick=59 pid=4 pri=0 slice=0
yTRACE tick=60 pid=4 pri=0 slice=0
 TRACE tick=60 pid=4 pri=0 slice=0
JTRACE tick=60 pid=4 pri=0 slice=0
oTRACE tick=60 pid=4 pri=0 slice=0
hTRACE tick=60 pid=4 pri=0 slice=0
nTRACE tick=60 pid=4 pri=0 slice=0
 TRACE tick=60 pid=4 pri=0 slice=0
LiTRACE tick=60 pid=4 pri=0 slice=0
oTRACE tick=61 pid=4 pri=0 slice=0
nTRACE tick=61 pid=4 pri=0 slice=0
sTRACE tick=61 pid=4 pri=0 slice=0
'TRACE tick=61 pid=4 pri=0 slice=0
sTRACE tick=61 pid=4 pri=0 slice=0
 TRACE tick=61 pid=4 pri=0 slice=0
CTRACE tick=61 pid=4 pri=0 slice=0
oTRACE tick=61 pid=4 pri=0 slice=0
TRACE tick=61 pid=4 pri=0 slice=0
mTRACE tick=62 pid=4 pri=0 slice=1
mTRACE tick=62 pid=4 pri=0 slice=0
eTRACE tick=62 pid=4 pri=0 slice=0
nTRACE tick=62 pid=4 pri=0 slice=0
tTRACE tick=62 pid=4 pri=0 slice=0
aTRACE tick=62 pid=4 pri=0 slice=0
rTRACE tick=62 pid=4 pri=0 slice=0
yTRACE tick=63 pid=4 pri=0 slice=0
 TRACE tick=63 pid=4 pri=0 slice=0
oTRACE tick=63 pid=4 pri=0 slice=0
nTRACE tick=63 pid=4 pri=0 slice=0
 TRACE tick=63 pid=4 pri=0 slice=0
UTRACE tick=63 pid=4 pri=0 slice=0
NTRACE tick=63 pid=4 pri=0 slice=0
ITRACE tick=63 pid=4 pri=0 slice=0
XTRACE tick=64 pid=4 pri=0 slice=0
 TRACE tick=64 pid=4 pri=0 slice=0
6TRACE tick=64 pid=4 pri=0 slice=0
tTRACE tick=64 pid=4 pri=0 slice=0
hTRACE tick=64 pid=4 pri=0 slice=0
 TRACE tick=64 pid=4 pri=0 slice=0
ETRACE tick=64 pid=4 pri=0 slice=0
diTRACE tick=64 pid=4 pri=0 slice=0
tTRACE tick=64 pid=4 pri=0 slice=0
iTRACE tick=65 pid=4 pri=0 slice=0
oTRACE tick=65 pid=4 pri=0 slice=0
nTRACE tick=65 pid=4 pri=0 slice=0
 TRACE tick=65 pid=4 pri=0 slice=0
(TRACE tick=65 pid=4 pri=0 slice=0
PTRACE tick=65 pid=4 pri=0 slice=0
eTRACE tick=65 pid=4 pri=0 slice=0
eTRACE tick=65 pid=4 pri=0 slice=0
rTRACE tick=65 pid=4 pri=0 slice=0
TRACE tick=66 pid=4 pri=0 slice=0

TRACE tick=66 pid=4 pri=0 slice=0
tTRACE tick=66 pid=4 pri=0 slice=0
oTRACE tick=66 pid=4 pri=0 slice=0
 TRACE tick=66 pid=4 pri=0 slice=0
PTRACE tick=66 pid=4 pri=0 slice=0
eTRACE tick=66 pid=4 pri=0 slice=0
eTRACE tick=66 pid=4 pri=0 slice=0
rTRACE tick=66 pid=4 pri=0 slice=0
 TRACE tick=67 pid=4 pri=0 slice=0
CTRACE tick=67 pid=4 pri=0 slice=0
oTRACE tick=67 pid=4 pri=0 slice=0
mTRACE tick=67 pid=4 pri=0 slice=0
mTRACE tick=67 pid=4 pri=0 slice=0
uTRACE tick=67 pid=4 pri=0 slice=0
nTRACE tick=67 pid=4 pri=0 slice=0
iTRACE tick=67 pid=4 pri=0 slice=0
cTRACE tick=68 pid=4 pri=0 slice=0
aTRACE tick=68 pid=4 pri=0 slice=0
tTRACE tick=68 pid=4 pri=0 slice=0
ioTRACE tick=68 pid=4 pri=0 slice=0
nTRACE tick=68 pid=4 pri=0 slice=0
sTRACE tick=68 pid=4 pri=0 slice=0
;TRACE tick=68 pid=4 pri=0 slice=0
 TRACE tick=68 pid=4 pri=0 slice=0
ITRACE tick=68 pid=4 pri=0 slice=0
STRACE tick=69 pid=4 pri=0 slice=0
BTRACE tick=69 pid=4 pri=0 slice=0
NTRACE tick=69 pid=4 pri=0 slice=0
:TRACE tick=69 pid=4 pri=0 slice=0
 TRACE tick=69 pid=4 pri=0 slice=0
